SOG_ID	FungiDB-68_AfumigatusA1163	FungiDB-68_AfumigatusAf293	FungiDB-68_AnovofumigatusIBT16806
SOG000120.OG0000107	AFUB_073940	Afu6g07950	P174DRAFT_440155
SOG000121.OG0000108	AFUB_075790	Afu6g09740	P174DRAFT_511158
SOG000122.OG0000110	AFUB_077920	Afu6g11930	
SOG000123.OG0000110	AFUB_086770	Afu7g00210	
SOG000124.OG0000111	AFUB_078130	Afu6g12140	P174DRAFT_458694
SOG000125.OG0000112	AFUB_079140	Afu1g16120	
SOG000126.OG0000112	AFUB_080650	Afu8g07150	P174DRAFT_376041
SOG000127.OG0000114	AFUB_079670	Afu1g01130	P174DRAFT_435220
SOG000128.OG0000115	AFUB_079790		P174DRAFT_413981
SOG000129.OG0000116	AFUB_080760	Afu8g07040	P174DRAFT_444944
SOG000130.OG0000117	AFUB_084060	Afu8g02520	P174DRAFT_515362
SOG000131.OG0000118	AFUB_096910	Afu6g00580	
SOG000132.OG0000119	AFUB_099420	Afu4g03615	P174DRAFT_373443
SOG000133.OG0000120	AFUB_101440	Afu4g00940	P174DRAFT_425556
SOG000134.OG0000123	AFUB_047290	Afu3g01120	P174DRAFT_396916
SOG000135.OG0000124	AFUB_022870	Afu2g05840	P174DRAFT_436940
SOG000136.OG0000125	AFUB_045800	Afu3g02520	
SOG000137.OG0000127	AFUB_033290	Afu2g17600	P174DRAFT_448094
SOG000138.OG0000128	AFUB_086200	Afu8g00370	P174DRAFT_424178
SOG000139.OG0000129	AFUB_085950	Afu8g00620	P174DRAFT_463480
SOG000140.OG0000130	AFUB_086330	Afu8g00210	
SOG000141.OG0000130	AFUB_033730	Afu2g18040	
SOG000142.OG0000131	AFUB_092200	Afu7g06630	P174DRAFT_411418
SOG000143.OG0000132	AFUB_049870	Afu5g01360	P174DRAFT_457204
SOG000144.OG0000133	AFUB_033030	Afu2g17360	P174DRAFT_509511
SOG000145.OG0000134	AFUB_043340	Afu3g05660	P174DRAFT_433033
SOG000146.OG0000135	AFUB_049250	Afu5g00790	P174DRAFT_438154
SOG000147.OG0000136	AFUB_047000	Afu3g01400	P174DRAFT_507647
SOG000148.OG0000137	AFUB_010470	Afu1g11050	
SOG000149.OG0000137	AFUB_047150	Afu3g01230	P174DRAFT_454996
SOG000150.OG0000138	AFUB_047210	Afu3g01190	
SOG000151.OG0000138	AFUB_096080	Afu6g02242	
SOG000152.OG0000140	AFUB_054290	Afu5g06730	
SOG000153.OG0000140	AFUB_071990	Afu4g14735	
SOG000154.OG0000141	AFUB_039960	Afu3g09170	P174DRAFT_423096
SOG000155.OG0000142	AFUB_075780	Afu6g09730	P174DRAFT_458927
SOG000156.OG0000145	AFUB_077820	Afu6g11810	
SOG000157.OG0000146	AFUB_100670	Afu4g00150	
SOG000158.OG0000147	AFUB_054400	Afu5g06840	
SOG000159.OG0000148	AFUB_075830	Afu6g09780	
SOG000160.OG0000148	AFUB_092800	Afu6g09307	
SOG000161.OG0000149	AFUB_079180	Afu8g06350	
SOG000162.OG0000150	AFUB_045530	Afu3g02760	
SOG000163.OG0000150	AFUB_095220	Afu6g03080	P174DRAFT_440603
SOG000164.OG0000151	AFUB_071820	Afu4g14580	P174DRAFT_373577
SOG000165.OG0000152	AFUB_048790	Afu5g00340	
SOG000166.OG0000153	AFUB_031040	Afu2g15380	P174DRAFT_437811
SOG000167.OG0000153	AFUB_035380	Afu3g13810	
SOG000168.OG0000154		Afu1g01480	P174DRAFT_425008
SOG000169.OG0000155	AFUB_025410	Afu2g09540	P174DRAFT_456429
SOG000170.OG0000156	AFUB_099530	Afu4g03520	P174DRAFT_513768
SOG000171.OG0000157	AFUB_054750	Afu5g07190	P174DRAFT_510088
SOG000172.OG0000157	AFUB_077900	Afu6g11910	
SOG000173.OG0000158	AFUB_092640	Afu6g09410	P174DRAFT_457082
SOG000174.OG0000159	AFUB_010780	Afu1g11350	P174DRAFT_515876
SOG000175.OG0000160	AFUB_086390	Afu8g00140	
SOG000176.OG0000160	AFUB_033920	Afu3g15300	
SOG000177.OG0000161	AFUB_032240	Afu2g16560	P174DRAFT_417162
SOG000178.OG0000163	AFUB_091860	Afu7g06310	P174DRAFT_462781
SOG000179.OG0000164	AFUB_097680	Afu7g08540	
SOG000180.OG0000165	AFUB_014040	Afu1g14510	
SOG000181.OG0000166	AFUB_044960	Afu3g03290	P174DRAFT_462005
SOG000182.OG0000167	AFUB_060910	Afu5g13200	P174DRAFT_510599
SOG000183.OG0000168	AFUB_066340	Afu4g09220	P174DRAFT_442733
SOG000184.OG0000168	AFUB_048760	Afu5g00310	
SOG000185.OG0000169	AFUB_017770	Afu2g00690	P174DRAFT_381149
SOG000186.OG0000170	AFUB_100490	Afu4g02660	
SOG000187.OG0000170	AFUB_066560	Afu4g09440	P174DRAFT_513343
SOG000188.OG0000171	AFUB_047630	Afu3g00780	P174DRAFT_470317
SOG000189.OG0000172	AFUB_081510	Afu8g06000	P174DRAFT_515062
SOG000190.OG0000172	AFUB_097930	Afu1g00500	
SOG000191.OG0000173	AFUB_071440	Afu4g14290	
SOG000192.OG0000174	AFUB_081150	Afu8g06620	
SOG000193.OG0000174	AFUB_101590	Afu4g01090	
SOG000194.OG0000175	AFUB_047680	Afu3g00740	P174DRAFT_445832
SOG000195.OG0000176	AFUB_028880	Afu2g13250	P174DRAFT_427354
SOG000196.OG0000177	AFUB_002030	Afu1g01630	P174DRAFT_515834
SOG000197.OG0000178	AFUB_101930	Afu4g01450	
SOG000198.OG0000178	AFUB_002490	Afu1g02110	P174DRAFT_445671
SOG000199.OG0000179	AFUB_010440	Afu1g11020	
SOG000200.OG0000179	AFUB_046910	Afu3g01490	P174DRAFT_425283
SOG000201.OG0000181	AFUB_018000	Afu2g00920	P174DRAFT_446675
SOG000202.OG0000182	AFUB_038310	Afu3g10820	P174DRAFT_373793
SOG000203.OG0000183	AFUB_050510	Afu5g01990	P174DRAFT_457262
SOG000204.OG0000184	AFUB_024380	Afu2g08430	
SOG000205.OG0000184	AFUB_044870	Afu3g03380	P174DRAFT_238843
SOG000206.OG0000185	AFUB_075960	Afu6g09900	P174DRAFT_367851
SOG000207.OG0000186	AFUB_045440	Afu3g02800	P174DRAFT_461939
SOG000208.OG0000187	AFUB_033100	Afu2g17430	P174DRAFT_438081
SOG000209.OG0000188	AFUB_065810	Afu4g08715	
SOG000210.OG0000189	AFUB_043020	Afu3g06030	P174DRAFT_452909
SOG000211.OG0000189	AFUB_036320	Afu3g12850	
SOG000212.OG0000190	AFUB_044970	Afu3g03280	P174DRAFT_462003
SOG000213.OG0000192	AFUB_046570	Afu3g01850	P174DRAFT_445923
SOG000214.OG0000193	AFUB_077950	Afu6g11970	
SOG000215.OG0000194	AFUB_071740	Afu4g14490	
SOG000216.OG0000195	AFUB_052630	Afu5g04130	P174DRAFT_509877
SOG000217.OG0000196	AFUB_084320	Afu8g02290	P174DRAFT_424379
SOG000218.OG0000198	AFUB_071380	Afu4g14220	P174DRAFT_431768
SOG000219.OG0000199	AFUB_063070	Afu4g05970	P174DRAFT_409277
SOG000220.OG0000200	AFUB_077350	Afu6g11330	P174DRAFT_386481
SOG000221.OG0000201	AFUB_080930	Afu8g06840	P174DRAFT_444921
SOG000222.OG0000202	AFUB_090430	Afu7g04880	P174DRAFT_514760
SOG000223.OG0000203	AFUB_087230	Afu7g00640	P174DRAFT_403091
SOG000224.OG0000204	AFUB_088240	Afu7g01670	P174DRAFT_445288
SOG000225.OG0000205	AFUB_097230	Afu6g00290	P174DRAFT_440816
SOG000226.OG0000206	AFUB_037000	Afu3g12180	P174DRAFT_462696
SOG000227.OG0000207	AFUB_045480	Afu3g02785	P174DRAFT_375116
SOG000228.OG0000208	AFUB_001480	Afu6g13290	P174DRAFT_449508
SOG000229.OG0000209	AFUB_001850,AFUB_001840	Afu6g12890,Afu6g12910	P174DRAFT_510893
SOG000230.OG0000210	AFUB_041920	Afu3g07130	P174DRAFT_422888
SOG000231.OG0000211	AFUB_002370	Afu1g01990	P174DRAFT_396561
SOG000232.OG0000212	AFUB_002680	Afu1g02290	P174DRAFT_445654
SOG000233.OG0000213	AFUB_003600	Afu1g03180	
SOG000234.OG0000214	AFUB_006140	Afu1g05750	P174DRAFT_191784
SOG000235.OG0000215	AFUB_006190	Afu1g05800	P174DRAFT_451544
SOG000236.OG0000216	AFUB_006250	Afu1g05860	P174DRAFT_421219
SOG000237.OG0000217	AFUB_007410	Afu1g07040	P174DRAFT_451437
SOG000238.OG0000218	AFUB_010910	Afu1g11480	P174DRAFT_441508
SOG000239.OG0000219	AFUB_011920	Afu1g12450	P174DRAFT_406521
SOG000240.OG0000219	AFUB_017960	Afu2g00880	
SOG000241.OG0000220	AFUB_051630	Afu5g03120	
SOG000242.OG0000220	AFUB_013220	Afu1g13730	P174DRAFT_167653
SOG000243.OG0000221	AFUB_014380	Afu1g14840	P174DRAFT_441108
SOG000244.OG0000222	AFUB_015650	Afu1g16310	P174DRAFT_511985
SOG000245.OG0000223	AFUB_016600	Afu1g17210	P174DRAFT_388362
SOG000246.OG0000224	AFUB_017570	Afu2g00510	P174DRAFT_455722
SOG000247.OG0000225	AFUB_018170	Afu2g01090	P174DRAFT_426346
SOG000248.OG0000226	AFUB_018480	Afu2g01400	P174DRAFT_508383
SOG000249.OG0000227	AFUB_021130	Afu2g04060	P174DRAFT_436731
SOG000250.OG0000227	AFUB_033650	Afu2g17960	
SOG000251.OG0000228	AFUB_021310	Afu2g04240	P174DRAFT_436760
SOG000252.OG0000229	AFUB_022210	Afu2g05180	P174DRAFT_456164
SOG000253.OG0000230	AFUB_023600	Afu2g07550	P174DRAFT_508824
SOG000254.OG0000230	AFUB_072000	Afu4g14740	
SOG000255.OG0000231	AFUB_024950	Afu2g09070	P174DRAFT_508927
SOG000256.OG0000232	AFUB_024990	Afu2g09110	P174DRAFT_362522
SOG000257.OG0000233	AFUB_025840	Afu2g10020	P174DRAFT_447393
SOG000258.OG0000234	AFUB_029960	Afu2g14340	P174DRAFT_427463
SOG000259.OG0000235	AFUB_030130	Afu2g14510	P174DRAFT_437713
SOG000260.OG0000236	AFUB_030280	Afu2g14640	P174DRAFT_44333
SOG000261.OG0000236	AFUB_087390	Afu7g00810	
SOG000262.OG0000237	AFUB_033440	Afu2g17760	P174DRAFT_361590
SOG000263.OG0000237	AFUB_085910	Afu8g00660	
SOG000264.OG0000238	AFUB_094990	Afu6g03300	
SOG000265.OG0000238	AFUB_034070	Afu3g15150	P174DRAFT_516300
SOG000266.OG0000239	AFUB_034080	Afu3g15140	P174DRAFT_516301
SOG000267.OG0000239	AFUB_095000	Afu6g03290	
SOG000268.OG0000240	AFUB_035660	Afu3g13520	
SOG000269.OG0000240	AFUB_086970	Afu7g00390	P174DRAFT_515569
SOG000270.OG0000241	AFUB_036250	Afu3g12940	P174DRAFT_465059
SOG000271.OG0000242	AFUB_036760	Afu3g12400	P174DRAFT_446331
SOG000272.OG0000243	AFUB_039980	Afu3g09150	P174DRAFT_443956
SOG000273.OG0000244	AFUB_084400	Afu8g02210	
SOG000274.OG0000244	AFUB_041160	Afu3g07960	P174DRAFT_514234
SOG000275.OG0000245	AFUB_043520	Afu3g05480	P174DRAFT_241491
SOG000276.OG0000246	AFUB_078940	Afu8g06310	
SOG000277.OG0000247	AFUB_079010	Afu5g14900	
SOG000278.OG0000248	AFUB_045180	Afu3g03050	P174DRAFT_461963
SOG000279.OG0000249	AFUB_101000	Afu4g00460	
SOG000280.OG0000249	AFUB_045470	Afu3g02790	
SOG000281.OG0000250	AFUB_047400	Afu3g01002	P174DRAFT_378750
SOG000282.OG0000251	AFUB_047470	Afu3g00930	P174DRAFT_464417
SOG000283.OG0000252	AFUB_047730	Afu3g00690	P174DRAFT_515943
SOG000284.OG0000253	AFUB_048750	Afu5g00300	
SOG000285.OG0000253	AFUB_047810	Afu3g00620	P174DRAFT_378811
SOG000286.OG0000254	AFUB_048340	Afu3g00100	
SOG000287.OG0000254	AFUB_085140	Afu8g01470	
SOG000288.OG0000255	AFUB_085770	Afu8g00800	P174DRAFT_454186
SOG000289.OG0000255	AFUB_048810	Afu5g00370	
SOG000290.OG0000256	AFUB_049060	Afu5g00590	P174DRAFT_383549
SOG000291.OG0000257	AFUB_049100	Afu5g00630	P174DRAFT_509580
SOG000292.OG0000258	AFUB_049290	Afu5g00830	P174DRAFT_383595
SOG000293.OG0000259	AFUB_050540	Afu5g02020	P174DRAFT_365483
SOG000294.OG0000260	AFUB_051210	Afu5g02670	P174DRAFT_475026
SOG000295.OG0000261	AFUB_057820	Afu5g10220	P174DRAFT_402440
SOG000296.OG0000262	AFUB_060140	Afu5g12470	P174DRAFT_439304
SOG000297.OG0000263	AFUB_060450	Afu5g12780	P174DRAFT_439335
SOG000298.OG0000264	AFUB_061490	Afu5g13750	P174DRAFT_458297
SOG000299.OG0000265	AFUB_061670	Afu5g13990	P174DRAFT_510654
SOG000300.OG0000266	AFUB_062350	Afu5g14680	P174DRAFT_117535
SOG000301.OG0000266	AFUB_062510	Afu5g14840	
SOG000302.OG0000267	AFUB_063930	Afu4g06860	P174DRAFT_452355
SOG000303.OG0000268	AFUB_064850	Afu4g07750	P174DRAFT_442884
SOG000304.OG0000269	AFUB_066740	Afu4g09630	P174DRAFT_408674
SOG000305.OG0000270	AFUB_097960	Afu1g00530	
SOG000306.OG0000270	AFUB_069040	Afu4g12050	P174DRAFT_408244
SOG000307.OG0000271	AFUB_069650	Afu4g12730	
SOG000308.OG0000271	AFUB_092430	Afu7g06850	P174DRAFT_457110
SOG000309.OG0000272	AFUB_070490	Afu4g13570	P174DRAFT_199329
SOG000310.OG0000273	AFUB_085020	Afu8g01590	
SOG000311.OG0000274	AFUB_092700	Afu6g09370	
SOG000312.OG0000275	AFUB_071650	Afu4g14380	
SOG000313.OG0000275	AFUB_091150	Afu7g05570	P174DRAFT_506305
SOG000314.OG0000276	AFUB_072580	Afu6g06650	P174DRAFT_387329
SOG000315.OG0000277	AFUB_073440	Afu6g07470	P174DRAFT_419550
SOG000316.OG0000278	AFUB_075630	Afu6g09580	P174DRAFT_511168
SOG000317.OG0000279	AFUB_075700	Afu6g09650	P174DRAFT_367031
SOG000318.OG0000280	AFUB_075900	Afu6g09850	P174DRAFT_386774
SOG000319.OG0000281	AFUB_076260	Afu6g10200	
SOG000320.OG0000282	AFUB_078970	Afu5g14865	
SOG000321.OG0000283	AFUB_096650,AFUB_079060	Afu5g14950,Afu1g16050	P174DRAFT_464610
SOG000322.OG0000284	AFUB_097760	Afu7g08610	
SOG000323.OG0000284	AFUB_079210	Afu8g06380	
SOG000324.OG0000285	AFUB_080360	Afu8g07380	
SOG000325.OG0000286	AFUB_080720	Afu8g07080	P174DRAFT_395206
SOG000326.OG0000287	AFUB_080770	Afu8g07030	
SOG000327.OG0000287	AFUB_087650	Afu7g01070	P174DRAFT_515520
SOG000328.OG0000288	AFUB_099650	Afu4g03410	P174DRAFT_432697
SOG000329.OG0000288	AFUB_081400	Afu8g06080	
SOG000330.OG0000289	AFUB_083500	Afu8g04060	P174DRAFT_376599
SOG000331.OG0000289	AFUB_097970	Afu1g00540	
SOG000332.OG0000290	AFUB_085650	Afu8g00930	P174DRAFT_412759
SOG000333.OG0000290	AFUB_101780	Afu4g01290	
SOG000334.OG0000291	AFUB_086190	Afu8g00380	P174DRAFT_412667
SOG000335.OG0000292	AFUB_087190	Afu7g00600	P174DRAFT_363923
SOG000336.OG0000293	AFUB_088250	Afu7g01680	P174DRAFT_497126
SOG000337.OG0000294	AFUB_088610	Afu7g02050	P174DRAFT_454384
SOG000338.OG0000295	AFUB_091190	Afu7g05610	P174DRAFT_394313
SOG000339.OG0000296	AFUB_091420	Afu7g05840	P174DRAFT_394270
SOG000340.OG0000297	AFUB_092460	Afu7g06910	P174DRAFT_515099
SOG000341.OG0000298	AFUB_095300	Afu6g02990	P174DRAFT_483125
SOG000342.OG0000299	AFUB_097338	Afu6g00190	
SOG000343.OG0000300	AFUB_099250	Afu4g03770	P174DRAFT_443227
SOG000344.OG0000301	AFUB_100050	Afu4g03080	P174DRAFT_443308
SOG000345.OG0000302	AFUB_100760	Afu4g00230	P174DRAFT_464655
SOG000346.OG0000303	AFUB_101080	Afu4g00530	
SOG000347.OG0000304	AFUB_101160	Afu4g00610	P174DRAFT_397293
SOG000348.OG0000306	AFUB_101740	Afu4g01242	P174DRAFT_379349
SOG000349.OG0000307		Afu8g05985	P174DRAFT_453981
SOG000350.OG0000313	AFUB_002310	Afu1g01930	P174DRAFT_507435
SOG000351.OG0000314	AFUB_050080	Afu5g01540	P174DRAFT_457222
SOG000352.OG0000315	AFUB_024210	Afu2g08230	P174DRAFT_362233
SOG000353.OG0000317	AFUB_094970	Afu6g03320	
SOG000354.OG0000318	AFUB_062170	Afu5g14490	P174DRAFT_510689
SOG000355.OG0000319	AFUB_085640	Afu8g00940	P174DRAFT_515254
SOG000356.OG0000320	AFUB_084240	Afu8g02350	P174DRAFT_377165
SOG000357.OG0000321	AFUB_071800	Afu4g14560	P174DRAFT_460908
SOG000358.OG0000324	AFUB_075660	Afu6g09610	P174DRAFT_404104
SOG000359.OG0000325	AFUB_044830	Afu3g03420	P174DRAFT_505534
SOG000360.OG0000326	AFUB_096120	Afu6g02210	P174DRAFT_440715
SOG000361.OG0000327	AFUB_046710	Afu3g01690	P174DRAFT_516048
SOG000362.OG0000328	AFUB_086850	Afu7g00290	P174DRAFT_377468
SOG000363.OG0000329	AFUB_020630	Afu2g03520	P174DRAFT_10874
SOG000364.OG0000330	AFUB_028420	Afu2g12790	P174DRAFT_427310
SOG000365.OG0000331	AFUB_091840	Afu7g06290	
SOG000366.OG0000332	AFUB_048730	Afu5g00280	
SOG000367.OG0000333	AFUB_037170	Afu3g12010	P174DRAFT_411308
SOG000368.OG0000334	AFUB_045840	Afu3g02460	
SOG000369.OG0000335	AFUB_045810	Afu3g02500	
SOG000370.OG0000336	AFUB_075300		P174DRAFT_509561
SOG000371.OG0000337	AFUB_081550	Afu8g05975	
SOG000372.OG0000338	AFUB_044130	Afu3g03820	P174DRAFT_392749
SOG000373.OG0000339	AFUB_002200	Afu1g01812	P174DRAFT_445697
SOG000374.OG0000340	AFUB_053820	Afu5g06290	P174DRAFT_438642
SOG000375.OG0000341	AFUB_041900	Afu3g07150	P174DRAFT_462259
SOG000376.OG0000342	AFUB_017800	Afu2g00720	P174DRAFT_508328
SOG000377.OG0000343	AFUB_086880	Afu7g00310	P174DRAFT_497523
SOG000378.OG0000344	AFUB_065320		P174DRAFT_513439
SOG000379.OG0000345	AFUB_099000	Afu4g04010	P174DRAFT_505310
SOG000380.OG0000346	AFUB_047370	Afu3g01030	P174DRAFT_414204
SOG000381.OG0000347	AFUB_057490	Afu5g09900	P174DRAFT_385095
SOG000382.OG0000348	AFUB_077910	Afu6g11920	
SOG000383.OG0000349	AFUB_101340	Afu4g00800	
SOG000384.OG0000350	AFUB_048030	Afu3g00430	P174DRAFT_507541
SOG000385.OG0000352	AFUB_051170	Afu5g02640	P174DRAFT_438327
SOG000386.OG0000353	AFUB_086180	Afu8g00390	P174DRAFT_463456
SOG000387.OG0000354	AFUB_084680	Afu8g01930	P174DRAFT_463617
SOG000388.OG0000355	AFUB_021920	Afu2g04890	P174DRAFT_362875
SOG000389.OG0000357	AFUB_066250	Afu4g09150	P174DRAFT_461371
SOG000390.OG0000358	AFUB_052480	Afu5g03980	P174DRAFT_86025
